5964,7026c5964,7026
< ID:11, Address:0, Data:5, Time:5963
< ID:10, Address:0, Data:2, Time:5964
< ID:11, Address:0, Data:10, Time:5965
< ID:10, Address:0, Data:1, Time:5966
< ID:11, Address:0, Data:19, Time:5967
< ID:10, Address:0, Data:2, Time:5968
< ID:11, Address:0, Data:29, Time:5969
< ID:10, Address:0, Data:1, Time:5970
< ID:11, Address:0, Data:31, Time:5971
< ID:10, Address:0, Data:1, Time:5972
< ID:11, Address:0, Data:45, Time:5973
< ID:10, Address:0, Data:2, Time:5974
< ID:11, Address:0, Data:70, Time:5975
< ID:10, Address:0, Data:2, Time:5976
< ID:11, Address:0, Data:71, Time:5977
< ID:10, Address:0, Data:2, Time:5978
< ID:11, Address:0, Data:81, Time:5979
< ID:10, Address:0, Data:2, Time:5980
< ID:11, Address:0, Data:98, Time:5981
< ID:10, Address:0, Data:2, Time:5982
< ID:11, Address:0, Data:105, Time:5983
< ID:10, Address:0, Data:2, Time:5984
< ID:11, Address:0, Data:116, Time:5985
< ID:10, Address:0, Data:2, Time:5986
< ID:11, Address:0, Data:117, Time:5987
< ID:10, Address:0, Data:1, Time:5988
< ID:11, Address:0, Data:126, Time:5989
< ID:10, Address:0, Data:2, Time:5990
< ID:11, Address:0, Data:137, Time:5991
< ID:10, Address:0, Data:2, Time:5992
< ID:11, Address:0, Data:145, Time:5993
< ID:10, Address:0, Data:1, Time:5994
< ID:11, Address:0, Data:170, Time:5995
< ID:10, Address:0, Data:2, Time:5996
< ID:11, Address:0, Data:177, Time:5997
< ID:10, Address:0, Data:2, Time:5998
< ID:11, Address:0, Data:191, Time:5999
< ID:10, Address:0, Data:2, Time:6000
< ID:11, Address:0, Data:195, Time:6001
< ID:10, Address:0, Data:2, Time:6002
< ID:11, Address:0, Data:204, Time:6003
< ID:10, Address:0, Data:2, Time:6004
< ID:11, Address:0, Data:214, Time:6005
< ID:10, Address:0, Data:2, Time:6006
< ID:11, Address:0, Data:231, Time:6007
< ID:10, Address:0, Data:2, Time:6008
< ID:11, Address:0, Data:251, Time:6009
< ID:10, Address:0, Data:2, Time:6010
< ID:8, Address:0, Data:2319, Time:6011
< ID:9, Address:0, Data:2322, Time:6012
< ID:11, Address:0, Data:29, Time:6013
< ID:10, Address:0, Data:1, Time:6014
< ID:11, Address:0, Data:63, Time:6015
< ID:10, Address:0, Data:2, Time:6016
< ID:11, Address:0, Data:145, Time:6017
< ID:10, Address:0, Data:1, Time:6018
< ID:8, Address:0, Data:2322, Time:6019
< ID:9, Address:0, Data:2343, Time:6020
< ID:11, Address:0, Data:1, Time:6021
< ID:10, Address:0, Data:2, Time:6022
< ID:11, Address:0, Data:5, Time:6023
< ID:10, Address:0, Data:2, Time:6024
< ID:11, Address:0, Data:9, Time:6025
< ID:10, Address:0, Data:1, Time:6026
< ID:11, Address:0, Data:19, Time:6027
< ID:10, Address:0, Data:2, Time:6028
< ID:11, Address:0, Data:20, Time:6029
< ID:10, Address:0, Data:2, Time:6030
< ID:11, Address:0, Data:29, Time:6031
< ID:10, Address:0, Data:1, Time:6032
< ID:11, Address:0, Data:31, Time:6033
< ID:10, Address:0, Data:1, Time:6034
< ID:11, Address:0, Data:52, Time:6035
< ID:10, Address:0, Data:2, Time:6036
< ID:11, Address:0, Data:56, Time:6037
< ID:10, Address:0, Data:1, Time:6038
< ID:11, Address:0, Data:66, Time:6039
< ID:10, Address:0, Data:1, Time:6040
< ID:11, Address:0, Data:69, Time:6041
< ID:10, Address:0, Data:1, Time:6042
< ID:11, Address:0, Data:74, Time:6043
< ID:10, Address:0, Data:2, Time:6044
< ID:11, Address:0, Data:96, Time:6045
< ID:10, Address:0, Data:2, Time:6046
< ID:11, Address:0, Data:101, Time:6047
< ID:10, Address:0, Data:1, Time:6048
< ID:11, Address:0, Data:105, Time:6049
< ID:10, Address:0, Data:2, Time:6050
< ID:11, Address:0, Data:112, Time:6051
< ID:10, Address:0, Data:2, Time:6052
< ID:11, Address:0, Data:142, Time:6053
< ID:10, Address:0, Data:1, Time:6054
< ID:11, Address:0, Data:155, Time:6055
< ID:10, Address:0, Data:2, Time:6056
< ID:11, Address:0, Data:170, Time:6057
< ID:10, Address:0, Data:2, Time:6058
< ID:11, Address:0, Data:207, Time:6059
< ID:10, Address:0, Data:2, Time:6060
< ID:11, Address:0, Data:241, Time:6061
< ID:10, Address:0, Data:2, Time:6062
< ID:8, Address:0, Data:2345, Time:6063
< ID:9, Address:0, Data:2349, Time:6064
< ID:11, Address:0, Data:29, Time:6065
< ID:10, Address:0, Data:1, Time:6066
< ID:11, Address:0, Data:79, Time:6067
< ID:10, Address:0, Data:2, Time:6068
< ID:11, Address:0, Data:183, Time:6069
< ID:10, Address:0, Data:2, Time:6070
< ID:11, Address:0, Data:254, Time:6071
< ID:10, Address:0, Data:2, Time:6072
< ID:8, Address:0, Data:2349, Time:6073
< ID:9, Address:0, Data:2353, Time:6074
< ID:11, Address:0, Data:1, Time:6075
< ID:10, Address:0, Data:2, Time:6076
< ID:11, Address:0, Data:64, Time:6077
< ID:10, Address:0, Data:2, Time:6078
< ID:11, Address:0, Data:183, Time:6079
< ID:10, Address:0, Data:2, Time:6080
< ID:11, Address:0, Data:240, Time:6081
< ID:10, Address:0, Data:1, Time:6082
< ID:8, Address:0, Data:2353, Time:6083
< ID:9, Address:0, Data:2370, Time:6084
< ID:11, Address:0, Data:19, Time:6085
< ID:10, Address:0, Data:2, Time:6086
< ID:11, Address:0, Data:23, Time:6087
< ID:10, Address:0, Data:2, Time:6088
< ID:11, Address:0, Data:27, Time:6089
< ID:10, Address:0, Data:2, Time:6090
< ID:11, Address:0, Data:29, Time:6091
< ID:10, Address:0, Data:1, Time:6092
< ID:11, Address:0, Data:32, Time:6093
< ID:10, Address:0, Data:2, Time:6094
< ID:11, Address:0, Data:67, Time:6095
< ID:10, Address:0, Data:2, Time:6096
< ID:11, Address:0, Data:73, Time:6097
< ID:10, Address:0, Data:2, Time:6098
< ID:11, Address:0, Data:87, Time:6099
< ID:10, Address:0, Data:1, Time:6100
< ID:11, Address:0, Data:98, Time:6101
< ID:10, Address:0, Data:2, Time:6102
< ID:11, Address:0, Data:101, Time:6103
< ID:10, Address:0, Data:1, Time:6104
< ID:11, Address:0, Data:116, Time:6105
< ID:10, Address:0, Data:2, Time:6106
< ID:11, Address:0, Data:117, Time:6107
