393,465c393,465
< ID:8, Address:0, Data:3805, Time:392
< ID:9, Address:0, Data:3825, Time:393
< ID:8, Address:0, Data:3825, Time:394
< ID:9, Address:0, Data:3833, Time:395
< ID:8, Address:0, Data:3833, Time:396
< ID:9, Address:0, Data:3840, Time:397
< ID:8, Address:0, Data:3840, Time:398
< ID:9, Address:0, Data:3844, Time:399
< ID:8, Address:0, Data:3844, Time:400
< ID:9, Address:0, Data:3881, Time:401
< ID:8, Address:0, Data:3881, Time:402
< ID:9, Address:0, Data:3882, Time:403
< ID:8, Address:0, Data:3930, Time:404
< ID:9, Address:0, Data:3940, Time:405
< ID:8, Address:0, Data:3941, Time:406
< ID:9, Address:0, Data:3944, Time:407
< ID:8, Address:0, Data:3963, Time:408
< ID:9, Address:0, Data:3966, Time:409
< ID:8, Address:0, Data:3966, Time:410
< ID:9, Address:0, Data:3974, Time:411
< ID:8, Address:0, Data:3974, Time:412
< ID:9, Address:0, Data:3985, Time:413
< ID:8, Address:0, Data:4012, Time:414
< ID:9, Address:0, Data:4034, Time:415
< ID:8, Address:0, Data:4034, Time:416
< ID:9, Address:0, Data:4037, Time:417
< ID:8, Address:0, Data:4037, Time:418
< ID:9, Address:0, Data:4039, Time:419
< ID:8, Address:0, Data:4039, Time:420
< ID:9, Address:0, Data:4088, Time:421
< ID:8, Address:0, Data:4088, Time:422
< ID:9, Address:0, Data:4096, Time:423
< ID:13, Address:3, Data:22, Time:424
< ID:8, Address:0, Data:0, Time:425
< ID:9, Address:0, Data:5, Time:426
< ID:8, Address:0, Data:128, Time:427
< ID:9, Address:0, Data:134, Time:428
< ID:8, Address:0, Data:332, Time:429
< ID:9, Address:0, Data:335, Time:430
< ID:8, Address:0, Data:493, Time:431
< ID:9, Address:0, Data:495, Time:432
< ID:8, Address:0, Data:669, Time:433
< ID:9, Address:0, Data:670, Time:434
< ID:8, Address:0, Data:747, Time:435
< ID:9, Address:0, Data:748, Time:436
< ID:8, Address:0, Data:1028, Time:437
< ID:9, Address:0, Data:1030, Time:438
< ID:8, Address:0, Data:1437, Time:439
< ID:9, Address:0, Data:1440, Time:440
< ID:8, Address:0, Data:1942, Time:441
< ID:9, Address:0, Data:1943, Time:442
< ID:8, Address:0, Data:2064, Time:443
< ID:9, Address:0, Data:2070, Time:444
< ID:8, Address:0, Data:2240, Time:445
< ID:9, Address:0, Data:2241, Time:446
< ID:8, Address:0, Data:2292, Time:447
< ID:9, Address:0, Data:2295, Time:448
< ID:8, Address:0, Data:2343, Time:449
< ID:9, Address:0, Data:2345, Time:450
< ID:8, Address:0, Data:2597, Time:451
< ID:9, Address:0, Data:2598, Time:452
< ID:8, Address:0, Data:2861, Time:453
< ID:9, Address:0, Data:2863, Time:454
< ID:8, Address:0, Data:2868, Time:455
< ID:9, Address:0, Data:2877, Time:456
< ID:8, Address:0, Data:3158, Time:457
< ID:9, Address:0, Data:3159, Time:458
< ID:8, Address:0, Data:3159, Time:459
< ID:9, Address:0, Data:3160, Time:460
< ID:8, Address:0, Data:3254, Time:461
< ID:9, Address:0, Data:3256, Time:462
< ID:8, Address:0, Data:3755, Time:463
< ID:9, Address:0, Data:3756, Time:464
---
> ID:8, Address:0, Data:3825, Time:392
> ID:9, Address:0, Data:3833, Time:393
> ID:8, Address:0, Data:3833, Time:394
> ID:9, Address:0, Data:3840, Time:395
> ID:8, Address:0, Data:3840, Time:396
> ID:9, Address:0, Data:3844, Time:397
> ID:8, Address:0, Data:3844, Time:398
> ID:9, Address:0, Data:3881, Time:399
> ID:8, Address:0, Data:3881, Time:400
> ID:9, Address:0, Data:3882, Time:401
> ID:8, Address:0, Data:3930, Time:402
> ID:9, Address:0, Data:3940, Time:403
> ID:8, Address:0, Data:3941, Time:404
> ID:9, Address:0, Data:3944, Time:405
> ID:8, Address:0, Data:3963, Time:406
> ID:9, Address:0, Data:3966, Time:407
> ID:8, Address:0, Data:3966, Time:408
> ID:9, Address:0, Data:3974, Time:409
> ID:8, Address:0, Data:3974, Time:410
> ID:9, Address:0, Data:3985, Time:411
> ID:8, Address:0, Data:4012, Time:412
> ID:9, Address:0, Data:4034, Time:413
> ID:8, Address:0, Data:4034, Time:414
> ID:9, Address:0, Data:4037, Time:415
